topology,seed,generation,best_fitness,mean_fitness,diversity_total,diversity_between,diversity_within
fc,5,17,0.700086,0.548710,0.178549,0.078352,0.176513
fc,5,18,0.700086,0.572186,0.199195,0.085691,0.194399
fc,5,19,0.700086,0.564134,0.191206,0.076037,0.189956
fc,5,20,0.700086,0.574322,0.190585,0.066728,0.191366
fc,5,21,0.700086,0.631095,0.123301,0.044524,0.127033
fc,5,22,0.700086,0.566493,0.141189,0.060200,0.140399
fc,5,23,0.762151,0.590894,0.102243,0.073978,0.090197
fc,5,24,0.762151,0.518425,0.125865,0.057271,0.124116
fc,5,25,0.762151,0.566786,0.110399,0.053778,0.108391
fc,5,26,0.762151,0.640189,0.084731,0.039318,0.086072
fc,5,27,0.762151,0.547213,0.101546,0.025025,0.105278
fc,5,28,0.762151,0.567175,0.112666,0.047698,0.112441
fc,5,29,0.762151,0.548086,0.126547,0.048133,0.127102
fc,6,0,0.647259,0.134065,0.332269,0.137249,0.325316
fc,6,1,0.659971,0.274996,0.353426,0.236963,0.295076
fc,6,2,0.659971,0.371994,0.360056,0.308815,0.255021
fc,6,3,0.659971,0.394056,0.426512,0.438645,0.226230
fc,6,4,0.688394,0.447674,0.379089,0.390929,0.198592
fc,6,5,0.688394,0.448820,0.337880,0.350550,0.171899
fc,6,6,0.688394,0.546470,0.313754,0.174673,0.292558
fc,6,7,0.698036,0.498839,0.265885,0.139031,0.256412
fc,6,8,0.698036,0.539374,0.198871,0.069762,0.203164
fc,6,9,0.698036,0.599387,0.190669,0.096633,0.181288
fc,6,10,0.700348,0.566277,0.181893,0.090773,0.176693
fc,6,11,0.700348,0.651332,0.144449,0.062776,0.146741
fc,6,12,0.700348,0.595429,0.161749,0.066885,0.161847
fc,6,13,0.700348,0.583875,0.151030,0.058079,0.152212
fc,6,14,0.710615,0.565938,0.138097,0.025907,0.145368
fc,6,15,0.710615,0.610062,0.147955,0.063231,0.148644
fc,6,16,0.710615,0.646598,0.112921,0.041290,0.116979
fc,6,17,0.710615,0.596067,0.159999,0.060707,0.162173
fc,6,18,0.710615,0.578895,0.166250,0.082822,0.159188
fc,6,19,0.722847,0.607903,0.176759,0.092766,0.167575
fc,6,20,0.722847,0.605264,0.136939,0.083753,0.125000
fc,6,21,0.722847,0.630354,0.090965,0.040004,0.091676
fc,6,22,0.722847,0.604743,0.120622,0.051022,0.119616
fc,6,23,0.722847,0.570402,0.123173,0.069814,0.115575
fc,6,24,0.722847,0.551094,0.138343,0.065558,0.134009
fc,6,25,0.722847,0.558963,0.162101,0.080907,0.160561
fc,6,26,0.722847,0.641727,0.098356,0.055204,0.099381
fc,6,27,0.722847,0.544813,0.106570,0.058425,0.101192
fc,6,28,0.722847,0.560165,0.123028,0.037285,0.126963
fc,6,29,0.722847,0.537805,0.110266,0.046529,0.109453
fc,7,0,0.536994,0.119534,0.321759,0.116110,0.323200
fc,7,1,0.643941,0.250810,0.322762,0.203598,0.277780
fc,7,2,0.643941,0.289306,0.298368,0.221755,0.232338
fc,7,3,0.643941,0.356734,0.311342,0.260997,0.223720
fc,7,4,0.654118,0.381912,0.283883,0.253930,0.189846
fc,7,5,0.697461,0.459902,0.308255,0.288595,0.189077
fc,7,6,0.697461,0.547203,0.310893,0.149623,0.300456
fc,7,7,0.697461,0.494330,0.354065,0.130440,0.350369
fc,7,8,0.697461,0.511927,0.323403,0.115931,0.323926
fc,7,9,0.697461,0.522664,0.236499,0.098513,0.234330
fc,7,10,0.700364,0.593164,0.188803,0.116890,0.172221
fc,7,11,0.700364,0.620475,0.111104,0.041163,0.114374
fc,7,12,0.700902,0.637023,0.115529,0.044860,0.115873
fc,7,13,0.700902,0.605601,0.107663,0.057650,0.100728
fc,7,14,0.700902,0.608163,0.122689,0.041643,0.122527
fc,7,15,0.700902,0.581289,0.133548,0.048665,0.133684
fc,7,16,0.700902,0.663766,0.080660,0.033141,0.082247
fc,7,17,0.700902,0.644750,0.092207,0.029018,0.095571
fc,7,18,0.700902,0.594879,0.122918,0.052864,0.121558
fc,7,19,0.700902,0.599768,0.122130,0.059508,0.117772
fc,7,20,0.700902,0.641672,0.103107,0.032379,0.106250
fc,7,21,0.702112,0.674127,0.065610,0.035966,0.065740
fc,7,22,0.702112,0.625455,0.110057,0.041301,0.110922
fc,7,23,0.702112,0.601462,0.120953,0.063504,0.115416
fc,7,24,0.702112,0.637803,0.115406,0.058637,0.113125
fc,7,25,0.702112,0.612719,0.121289,0.051114,0.119210
fc,7,26,0.702112,0.625728,0.091474,0.027833,0.096298
fc,7,27,0.702112,0.621502,0.118247,0.058022,0.114969
fc,7,28,0.708980,0.610207,0.120327,0.050846,0.119289
fc,7,29,0.708980,0.597886,0.126916,0.068091,0.121193
fc,8,0,0.621597,0.161062,0.309790,0.114803,0.308995
fc,8,1,0.640663,0.290217,0.277830,0.175414,0.237313
fc,8,2,0.658129,0.411965,0.224507,0.163942,0.183067
fc,8,3,0.665368,0.432780,0.208563,0.142846,0.174735
fc,8,4,0.665368,0.483424,0.225676,0.132070,0.196342
fc,8,5,0.665368,0.515188,0.233097,0.182104,0.181027
fc,8,6,0.665368,0.549204,0.228500,0.096616,0.228018
fc,8,7,0.665368,0.531036,0.205582,0.073394,0.207138
fc,8,8,0.665368,0.593410,0.193550,0.106649,0.181439
fc,8,9,0.699008,0.511678,0.174812,0.084803,0.170925
fc,8,10,0.699008,0.594575,0.157613,0.085390,0.147824
fc,8,11,0.699008,0.625620,0.133826,0.036013,0.141353
fc,8,12,0.699008,0.580152,0.169961,0.050502,0.175204
fc,8,13,0.699008,0.583786,0.176002,0.075904,0.173066
fc,8,14,0.699008,0.591400,0.186396,0.047360,0.194113
fc,8,15,0.725588,0.595194,0.199797,0.089568,0.197725
fc,8,16,0.725588,0.644822,0.162216,0.066755,0.165284
fc,8,17,0.735223,0.584840,0.133064,0.056374,0.134308
fc,8,18,0.735223,0.594214,0.142064,0.038210,0.146232
fc,8,19,0.735223,0.580754,0.119309,0.036489,0.122853
fc,8,20,0.735223,0.569556,0.127763,0.043823,0.128966
fc,8,21,0.770782,0.652301,0.089010,0.024531,0.094190
fc,8,22,0.770782,0.583149,0.109243,0.031928,0.111718
fc,8,23,0.770782,0.603834,0.117203,0.057802,0.113900
fc,8,24,0.770782,0.569777,0.124092,0.051030,0.123578
fc,8,25,0.770782,0.545072,0.127603,0.061495,0.123657
fc,8,26,0.770782,0.672534,0.095345,0.035233,0.097865
fc,8,27,0.770782,0.589628,0.109614,0.032599,0.114077
fc,8,28,0.770782,0.563648,0.123089,0.059734,0.121040
fc,8,29,0.770782,0.566226,0.131756,0.055885,0.132345
fc,9,0,0.487196,0.130717,0.318281,0.112461,0.317992
fc,9,1,0.637617,0.249693,0.348776,0.240704,0.284144
fc,9,2,0.667700,0.376621,0.328843,0.297933,0.205055
fc,9,3,0.667700,0.343942,0.330321,0.324016,0.184682
fc,9,4,0.667700,0.381206,0.315429,0.311142,0.178468
fc,9,5,0.667700,0.408373,0.317671,0.296311,0.200446
fc,9,6,0.691720,0.570753,0.299281,0.187521,0.273802
fc,9,7,0.691720,0.366389,0.223548,0.113409,0.215122
fc,9,8,0.691720,0.372916,0.217299,0.116779,0.208980
fc,9,9,0.691720,0.445722,0.209158,0.124046,0.189346
fc,9,10,0.691720,0.415258,0.231543,0.133548,0.203288
fc,9,11,0.691720,0.559119,0.189310,0.054532,0.199013
fc,9,12,0.691720,0.481950,0.262534,0.097046,0.265074
fc,9,13,0.691720,0.458161,0.283275,0.091162,0.289646
fc,9,14,0.698176,0.496483,0.264696,0.099134,0.264895
fc,9,15,0.705556,0.535687,0.248490,0.118677,0.239640
fc,9,16,0.705556,0.623477,0.138760,0.088370,0.130891
fc,9,17,0.705556,0.608747,0.136164,0.040109,0.141174
fc,9,18,0.706412,0.621616,0.113067,0.046451,0.112462
fc,9,19,0.706412,0.608364,0.127343,0.041459,0.130038
fc,9,20,0.706412,0.534843,0.143681,0.053154,0.145628
fc,9,21,0.706412,0.637292,0.093283,0.029945,0.096604
fc,9,22,0.706412,0.608115,0.098473,0.032872,0.100576
fc,9,23,0.706412,0.612632,0.105460,0.032492,0.107471
fc,9,24,0.709466,0.593111,0.136368,0.053632,0.136108
fc,9,25,0.709466,0.557815,0.138736,0.071374,0.134166
fc,9,26,0.709466,0.625629,0.114086,0.061540,0.114607
fc,9,27,0.709466,0.568158,0.133162,0.064345,0.129565
fc,9,28,0.709466,0.611293,0.135923,0.033843,0.140691
fc,9,29,0.709466,0.562257,0.138792,0.045538,0.142651
fc,10,0,0.647719,0.142738,0.318575,0.115149,0.315315
fc,10,1,0.647719,0.240892,0.341307,0.188447,0.301694
fc,10,2,0.647719,0.348580,0.325720,0.259189,0.229354
fc,10,3,0.647719,0.268522,0.356660,0.330418,0.222048
fc,10,4,0.647719,0.330039,0.332907,0.322862,0.193025
fc,10,5,0.648683,0.344627,0.336840,0.342347,0.183680
fc,10,6,0.648683,0.508103,0.289504,0.177514,0.266989
fc,10,7,0.656861,0.481788,0.248237,0.182747,0.199941
fc,10,8,0.667527,0.560316,0.185670,0.117811,0.164488
fc,10,9,0.667527,0.496346,0.184932,0.136877,0.145469
fc,10,10,0.667613,0.508815,0.240355,0.193014,0.186030
fc,10,11,0.695347,0.616542,0.195067,0.079466,0.196003
fc,10,12,0.695347,0.435606,0.212959,0.074450,0.214562
fc,10,13,0.763672,0.504899,0.205987,0.071093,0.209809
fc,10,14,0.763672,0.530323,0.165703,0.089896,0.152013
fc,10,15,0.763672,0.515314,0.167612,0.078713,0.156027
fc,10,16,0.763672,0.615296,0.130995,0.033829,0.136905
fc,10,17,0.763672,0.564177,0.133323,0.041662,0.137774
fc,10,18,0.763672,0.568765,0.162697,0.052652,0.166971
fc,10,19,0.763672,0.581905,0.140646,0.056230,0.141301
fc,10,20,0.772757,0.538941,0.144076,0.034897,0.149372
fc,10,21,0.772757,0.700950,0.106437,0.041532,0.108987
fc,10,22,0.772757,0.487592,0.142742,0.049216,0.144802
fc,10,23,0.772757,0.580495,0.160593,0.052479,0.163430
fc,10,24,0.772757,0.504738,0.159567,0.033851,0.167660
fc,10,25,0.772757,0.552918,0.155031,0.073135,0.152639
fc,10,26,0.772757,0.664683,0.105547,0.030598,0.110833
fc,10,27,0.772757,0.573005,0.108336,0.045961,0.108482
fc,10,28,0.772757,0.599978,0.113976,0.037682,0.116732
fc,10,29,0.772757,0.591999,0.112589,0.054016,0.111285
